KINVENT Physio 2.19.1,Devices: ,P126936 (FW 3.016) (250 Hz),P126695 (FW 3.016) (250 Hz)
Eyes Condition: ,Open
Side: ,Left
Repetition:,1
Longitudinal Mean Cop Position (mm),-26.699
Lateral Mean Cop Position (mm),-7.918
Longitudinal Standard Deviation (mm),6.684
Lateral Standard Deviation (mm),4.132
Ellipse Surface (mm²),519.847
Total Displacement (mm),1316.408
Total Displacement AP (mm),966.885
Total Displacement ML (mm),684.607
Mean Velocity (mm/s),43.711
Mean Velocity AP (mm/s),32.105
Mean Velocity ML (mm/s),22.732
Longitudinal Amplitude (mm/s),38.317
Lateral Amplitude (mm/s),19.677
Amplitude Ratio,0.514
Phase Plane AP (mm),39.603
Phase Plane ML (mm),24.421
Max Distance AP (mm),44.091
Max Distance ML (mm),16.599
,Heel,Tip
Weight Distribution (%),59.1,40.9

,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0.144,17.096730239428119,12.374622244591890,6.986329240230423,9.329800676822103,,0.6217,0.4443,
0.148,17.101582528349688,12.376787122308151,6.984981775194846,9.330836159791062,,0.6217,0.4442,
0.152,17.104679489590048,12.377197069212112,6.985887797376828,9.331510956198752,,0.6217,0.4442,
0.156,17.105199067087650,12.377092188756063,6.988203204685465,9.332281509306894,,0.6217,0.4442,
0.16010000002384187,17.104412869645124,12.375586606894291,6.990018108994233,9.334173852205588,,0.6216,0.4442,
0.16410000002384187,17.103133880286627,12.372441986166336,6.991968551147161,9.338029397182602,,0.6215,0.4442,
0.16810000002384184,17.102624421666938,12.368504620349800,6.994953611856475,9.343726009436214,,0.6214,0.4441,
0.17210000002384185,17.104484454929008,12.364277747792089,6.998324156341725,9.350697417569979,,0.6212,0.4441,
0.17610000002384185,17.108063850219203,12.360631742918560,7.001938786898234,9.358026704716561,,0.6211,0.4440,
0.18010000002384186,17.111852116465720,12.359815005568212,7.006419288222294,9.364135481051740,,0.6210,0.4440,
0.18410000002384186,17.114479734663732,12.364609953022256,7.012339331421887,9.368261288998053,,0.6209,0.4440,
0.18810000002384186,17.114926435741097,12.373608271542579,7.018607136796941,9.371851762259624,,0.6209,0.4441,
0.19210000002384187,17.113744730184692,12.381351639810598,7.023891872308026,9.376198329972443,,0.6208,0.4442,
0.19610000002384187,17.111956667353329,12.385170013209443,7.028392797819000,9.381978508485409,,0.6207,0.4443,
0.20010000002384185,17.110302652083959,12.386723736827973,7.032341081687935,9.389265774955128,,0.6206,0.4443,
0.20410000002384185,17.108884935831199,12.387119081534085,7.036429024554622,9.395895813862202,,0.6204,0.4443,
0.20810000002384185,17.106829713665498,12.385624581112452,7.039981430797276,9.399408470485060,,0.6203,0.4443,
0.21210000002384186,17.103252063849588,12.381692628589811,7.041861525224476,9.399534117404810,,0.6203,0.4443,
0.21610000002384186,17.097839513112053,12.375706403259860,7.044134518826305,9.398960489861238,,0.6202,0.4443,
0.22010000002384186,17.091850994644464,12.369196423691104,7.047602257949994,9.400558625684457,,0.6200,0.4443,
0.22410000002384187,17.087739742268703,12.363199020000769,7.050662916546124,9.404809421725144,,0.6199,0.4443,
0.22810000002384187,17.086532418765827,12.357800470105570,7.052566295456402,9.411274926984142,,0.6197,0.4442,
0.23210000002384185,17.086367895960493,12.353299357301113,7.053369325059311,9.419571708433949,,0.6196,0.4441,
0.23610000002384185,17.085586550508889,12.349698502846428,7.053545838421241,9.427797412424706,,0.6195,0.4441,
0.24,17.084786591329788,12.347131646600889,7.053496184805686,9.432569080377624,,0.6194,0.4440,
0.244,17.084212352185318,12.346094852039498,7.053899358995844,9.432480401168728,,0.6194,0.4440,
0.248,17.082706084129825,12.344948093259838,7.054654246203063,9.430162931272523,,0.6194,0.4440,
0.252,17.080494570015198,12.341914585563114,7.054663700532635,9.429343915228408,,0.6193,0.4440,
0.256,17.079181385682840,12.338012685409577,7.054073384661624,9.430496647347045,,0.6193,0.4440,
0.26,17.078569436518030,12.333522383125281,7.054028492387188,9.432708804778017,,0.6192,0.4439,
0.264,17.077876559422766,12.328002002051266,7.055204149651559,9.436352698587790,,0.6191,0.4439,
0.268,17.076419758942535,12.322311829706763,7.056765788990611,9.441333215254243,,0.6190,0.4438,
0.272,17.073093824789133,12.316600343965902,7.057714256234066,9.445691658073654,,0.6189,0.4438,
0.276,17.066605906342179,12.309768639958502,7.058111816166472,9.447319026738136,,0.6188,0.4437,
0.28,17.055505029205435,12.301058770523376,7.057695309824051,9.446679646547754,,0.6187,0.4437,
0.284,17.040861309347889,12.291334394143682,7.056624959168761,9.445022976395176,,0.6185,0.4437,
0.288,17.026072577075730,12.281978148510433,7.055917388014796,9.442913585352924,,0.6184,0.4438,
0.292,17.013525113399115,12.273252181208299,7.056478244181889,9.441229204284276,,0.6183,0.4438,
0.296,17.002795709829876,12.265219555827596,7.057955723182360,9.439798991081297,,0.6181,0.4438,
0.3,16.992958970070486,12.258597826640745,7.058778682413617,9.438001763981998,,0.6180,0.4438,
0.304,16.984750107279616,12.253434256148953,7.058899861393880,9.436425531156623,,0.6180,0.4438,
0.308,16.978139581708376,12.248853248411944,7.059001531787734,9.435221755998118,,0.6179,0.4439,
0.312,16.971976490510208,12.243881378875562,7.058494400767850,9.433756267089645,,0.6179,0.4439,
0.316,16.966122425284674,12.238654131729431,7.056930501199355,9.431612752395470,,0.6178,0.4438,
0.32010000002384187,16.961785334582434,12.235794502175578,7.055408772947975,9.428692132692467,,0.6178,0.4439,
0.32410000002384187,16.958987091702788,12.236710901306690,7.055127767451294,9.426202052895883,,0.6179,0.4439,
0.3281000000238419,16.958151891087617,12.240524069015262,7.055652593251823,9.426231901328787,,0.6179,0.4439,
0.3321000000238419,16.961278198069419,12.247550153433846,7.056462267574117,9.428805072549931,,0.6179,0.4440,
0.3361000000238419,16.967723132731656,12.257255782244176,7.057438679110237,9.431335735263424,,0.6180,0.4440,
0.34010000002384183,16.975840189364597,12.267642220935265,7.059346925176787,9.433769181164436,,0.6180,0.4441,
0.34410000002384183,16.985091709760063,12.277685491436380,7.063899991255838,9.438109147324305,,0.6181,0.4441,
