KINVENT Physio 2.19.1,Devices: ,P126936 (FW 3.016) (250 Hz),P126695 (FW 3.016) (250 Hz)
Eyes Condition: ,Closed
Side: ,Left
Repetition:,1
Longitudinal Mean Cop Position (mm),-33.969
Lateral Mean Cop Position (mm),-4.404
Longitudinal Standard Deviation (mm),10.232
Lateral Standard Deviation (mm),4.956
Ellipse Surface (mm²),800.532
Total Displacement (mm),1795.871
Total Displacement AP (mm),1488.478
Total Displacement ML (mm),730.195
Mean Velocity (mm/s),59.553
Mean Velocity AP (mm/s),49.359
Mean Velocity ML (mm/s),24.214
Longitudinal Amplitude (mm/s),45.723
Lateral Amplitude (mm/s),26.596
Amplitude Ratio,0.582
Phase Plane AP (mm),55.020
Phase Plane ML (mm),25.698
Max Distance AP (mm),57.130
Max Distance ML (mm),21.252
,Heel,Tip
Weight Distribution (%),61.6,38.4

,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0.18,16.517224362099924,12.465586770584000,5.715213084041709,7.529938695534403,,0.6578,0.4498,
0.184,16.524933929726931,12.468858884684407,5.724713306086230,7.537018772563961,,0.6576,0.4498,
0.188,16.535195315652327,12.474304869469819,5.734025838168503,7.544789452965044,,0.6575,0.4498,
0.192,16.546843078404343,12.482129841776858,5.743369509803436,7.553831464750653,,0.6574,0.4499,
0.196,16.559255466475317,12.490830684778821,5.752525847218047,7.564748716019801,,0.6572,0.4499,
0.19989999997615815,16.572103187486896,12.501175590088760,5.760855694159163,7.576449553435767,,0.6571,0.4499,
0.20389999997615815,16.583903352008257,12.513034364016907,5.766675634666053,7.586482102597338,,0.6570,0.4499,
0.20789999997615813,16.594703870224713,12.523893553148707,5.770222341302487,7.594504673465477,,0.6570,0.4499,
0.21189999997615813,16.605996826858227,12.531994572678006,5.773533713932968,7.602185471006734,,0.6570,0.4498,
0.21589999997615814,16.616975303320295,12.537865301540300,5.777450907491751,7.611230013875121,,0.6569,0.4498,
0.21989999997615814,16.628117673713994,12.543812252146378,5.783065906541091,7.622506647630240,,0.6568,0.4497,
0.22389999997615814,16.643154816181742,12.551837941411364,5.791536800617949,7.635912480838415,,0.6566,0.4497,
0.22789999997615815,16.662873452954926,12.562342899981051,5.802945279900732,7.649988587978131,,0.6565,0.4497,
0.23189999997615815,16.684646136018671,12.575895542117310,5.816485058495275,7.663083577412758,,0.6563,0.4497,
0.23589999997615815,16.707430932287529,12.591570698479067,5.830274366084552,7.676316597667020,,0.6562,0.4497,
0.23989999997615813,16.732489392825478,12.606743372035247,5.842739688903277,7.691437917421526,,0.6561,0.4497,
0.24389999997615813,16.759885155024435,12.622123841528731,5.854090433425402,7.708343437543427,,0.6560,0.4496,
0.24789999997615814,16.788528938125118,12.640644690436707,5.866413524426362,7.727292763590071,,0.6558,0.4495,
0.25189999997615814,16.817047362047305,12.663005410501423,5.882267682663432,7.748604601619986,,0.6557,0.4496,
0.25589999997615814,16.843112485121701,12.686914292255585,5.902609214078627,7.770379538041031,,0.6554,0.4496,
0.25989999997615815,16.866762148103120,12.709890585421128,5.926571992653090,7.790245199762023,,0.6551,0.4498,
0.26389999997615815,16.889767607996696,12.731172674110608,5.952793171153474,7.808205674541638,,0.6548,0.4499,
0.26789999997615815,16.911559183487739,12.750369029727583,5.979973677078773,7.826025017700005,,0.6544,0.4501,
0.27189999997615816,16.931901931905934,12.766840160304046,6.006227291414538,7.844375478958722,,0.6541,0.4502,
0.27589999997615816,16.952324794734437,12.780253421115477,6.029991808158279,7.861951854044573,,0.6537,0.4503,
0.28,16.972968425532589,12.791891407694706,6.050579629022169,7.877429304450827,,0.6535,0.4503,
0.284,16.993291591374920,12.804276277076076,6.067236416464226,7.890654652061416,,0.6533,0.4504,
0.288,17.014791052120316,12.819331658562636,6.079191031413068,7.901449855490227,,0.6532,0.4504,
0.292,17.039944321845780,12.837976602706341,6.086270110869526,7.908535637721307,,0.6533,0.4504,
0.296,17.069514268919335,12.859641975854576,6.089450238421610,7.911924387165158,,0.6535,0.4504,
0.3,17.103395349244444,12.882930866704683,6.089735854929675,7.914903080135937,,0.6538,0.4504,
0.304,17.141978217467667,12.906497694172993,6.087596990592468,7.920991362545256,,0.6542,0.4502,
0.308,17.185168106165680,12.928960611641605,6.083921359865325,7.930569269576725,,0.6545,0.4500,
0.312,17.231873745936433,12.951498266638101,6.080281594332128,7.940025960068787,,0.6548,0.4498,
0.316,17.281403785311568,12.976365226283029,6.077960625421492,7.944944507524931,,0.6552,0.4496,
0.32,17.333362074574509,13.002374084832912,6.076495894737719,7.945335767547732,,0.6557,0.4495,
0.324,17.386029027376317,13.028223612044471,6.075322555935339,7.945185333326627,,0.6562,0.4494,
0.328,17.439128108467763,13.054414091411619,6.075250758869162,7.948361825831915,,0.6566,0.4492,
0.332,17.493775129767315,13.081461374571576,6.076908928048302,7.955732367567271,,0.6570,0.4491,
0.336,17.548049305729059,13.110705994864119,6.080160405933908,7.965488746726578,,0.6573,0.4489,
0.34,17.601096764074828,13.143229605364796,6.084628236413787,7.977125936254079,,0.6576,0.4488,
0.344,17.655642474554071,13.178631540648498,6.089846405848016,7.991779444806804,,0.6579,0.4487,
0.348,17.711379517149794,13.215800373171366,6.095859557963442,8.008509374726728,,0.6582,0.4486,
0.352,17.767462091824456,13.252191890276126,6.102876167491520,8.026266562672443,,0.6584,0.4485,
0.356,17.825095713754649,13.285749009133808,6.111134226106728,8.046636838548718,,0.6586,0.4483,
0.3598999999761581,17.881605834440670,13.318009879388326,6.121790237415764,8.068849675182880,,0.6587,0.4482,
0.36389999997615813,17.933273146059015,13.349775606432186,6.135134966740283,8.088888549431811,,0.6587,0.4481,
0.36789999997615813,17.978230539120553,13.377896346647443,6.150320066415436,8.106060271584791,,0.6587,0.4481,
0.37189999997615814,18.014603283125908,13.399995954875067,6.166739542610701,8.122492658069419,,0.6587,0.4481,
0.37589999997615814,18.043021674213517,13.416980165321629,6.183465780509451,8.138884917210250,,0.6585,0.4481,
0.37989999997615814,18.065717606025338,13.429791479714041,6.199216880793559,8.154607741549437,,0.6583,0.4481,
0.38389999997615815,18.083235066443919,13.438398795411061,6.212904746548198,8.168161629276497,,0.6581,0.4481,
