KINVENT Physio 2.19.1,Devices: ,P126936 (FW 3.016) (250 Hz),P126695 (FW 3.016) (250 Hz)
Body Weight (kg),24.09
Repetition,1
Number of Reps,Pace (reps/min)
1,12.000
Max Strength (kg),Max Left Strength,Max Right Strength
37.002,18.642,18.361
Intensity Distribution (%),Left,Right
Low,50.541,49.459
Medium,49.765,50.235
High,51.017,48.983
,K-Plate Left,,,,,K-Plate Right,,,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
0.04410000002384186,3.874949932098389,3.485199928283691,2.477550029754639,2.522399902343750,,3.476999998092651,3.478100061416626,2.204250097274780,2.570399999618530,
0.048100000023841856,3.880150079727173,3.466900110244751,2.488749980926514,2.509999990463257,,3.472700119018555,3.477200031280518,2.194750070571899,2.583699941635132,
0.05210000002384186,3.884449958801270,3.471800088882446,2.476449966430664,2.496799945831299,,3.506700038909912,3.462300062179565,2.203850030899048,2.601799964904785,
0.056100000023841856,3.880150079727173,3.467400074005127,2.454050064086914,2.501499891281128,,3.519200086593628,3.449800014495850,2.206949949264526,2.586299896240234,
0.06010000002384186,3.845550060272217,3.463700056076050,2.460649967193604,2.536999940872192,,3.502000093460083,3.463399887084961,2.230449914932251,2.595000028610229,
0.06410000002384186,3.861350059509277,3.487400054931641,2.470249891281128,2.510299921035767,,3.492500066757202,3.487799882888794,2.226749897003174,2.586600065231323,
0.06810000002384185,3.859750032424927,3.474299907684326,2.451050043106079,2.512500047683716,,3.452100038528442,3.459700107574463,2.207550048828125,2.553200006484985,
0.07210000002384186,3.886349916458130,3.454499959945679,2.463249921798706,2.513200044631958,,3.462100028991699,3.470099925994873,2.211549997329712,2.536700010299683,
0.07610000002384186,3.896549940109253,3.467499971389771,2.471549987792969,2.537800073623657,,3.482199907302856,3.447099924087524,2.219150066375732,2.546200037002563,
0.08010000002384186,3.847450017929077,3.473500013351440,2.483350038528442,2.520600080490112,,3.490799903869629,3.474600076675415,2.191450119018555,2.579600095748901,
0.08410000002384185,3.842149972915649,3.480999946594238,2.472249984741211,2.519900083541870,,3.473299980163574,3.494400024414063,2.191450119018555,2.583100080490112,
0.08810000002384186,3.853250026702881,3.460000038146973,2.493149995803833,2.519799947738647,,3.486200094223022,3.468800067901611,2.180449962615967,2.592499971389771,
0.09210000002384186,3.868949890136719,3.477799892425537,2.484549999237061,2.510699987411499,,3.493999958038330,3.476000070571899,2.171250104904175,2.557300090789795,
0.09610000002384186,3.836450099945068,3.480600118637085,2.479350090026855,2.492799997329712,,3.478499889373779,3.449100017547607,2.213150024414063,2.571199893951416,
0.10010000002384185,3.840549945831299,3.478899955749512,2.485150098800659,2.507699966430664,,3.470599889755249,3.453200101852417,2.203749895095825,2.540100097656250,
0.10410000002384186,3.848449945449829,3.463700056076050,2.484149932861328,2.493499994277954,,3.461400032043457,3.477699995040894,2.217649936676025,2.527199983596802,
0.10810000002384186,3.849849939346313,3.475899934768677,2.457649946212769,2.506799936294556,,3.455899953842163,3.449700117111206,2.213449954986572,2.526599884033203,
0.11210000002384186,3.881750106811523,3.490499973297119,2.484950065612793,2.484600067138672,,3.463599920272827,3.469899892807007,2.211149930953979,2.523400068283081,
0.11610000002384185,3.879549980163574,3.495100021362305,2.504050016403198,2.497999906539917,,3.481100082397461,3.418900012969971,2.198750019073486,2.559900045394897,
0.12,3.842750072479248,3.488800048828125,2.497450113296509,2.508199930191040,,3.460599899291992,3.446099996566772,2.198050022125244,2.551100015640259,
0.124,3.827950000762939,3.479899883270264,2.481650114059448,2.500999927520752,,3.453500032424927,3.425800085067749,2.182849884033203,2.534100055694580,
0.128,3.843849897384644,3.476799964904785,2.499850034713745,2.502599954605103,,3.456899881362915,3.434299945831299,2.176949977874756,2.522099971771240,
0.132,3.826050043106079,3.471400022506714,2.468450069427490,2.509399890899658,,3.450299978256226,3.418600082397461,2.176049947738647,2.524800062179565,
0.136,3.831850051879883,3.461199998855591,2.489449977874756,2.493599891662598,,3.454400062561035,3.420799970626831,2.189749956130981,2.524499893188477,
0.14,3.845849990844727,3.451999902725220,2.438649892807007,2.489900112152100,,3.474600076675415,3.434099912643433,2.173749923706055,2.543400049209595,
0.144,3.859349966049194,3.466799974441528,2.462349891662598,2.463099956512451,,3.470599889755249,3.437500000000000,2.172250032424927,2.550400018692017,
0.148,3.853849887847900,3.436000108718872,2.474349975585938,2.488100051879883,,3.475899934768677,3.459000110626221,2.180550098419189,2.572400093078613,
0.152,3.850749969482422,3.440599918365479,2.468250036239624,2.467799901962280,,3.458699941635132,3.459000110626221,2.194449901580811,2.558099985122681,
0.156,3.851150035858154,3.450999975204468,2.480950117111206,2.503200054168701,,3.443000078201294,3.459800004959106,2.187750101089478,2.520400047302246,
